log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.6032792283E-02  0.1436178652E+00  0.2941362880E+00
-0.1204119983E+01 -0.2230557317E+00 -0.1377204805E+00  0.7734382623E-01
-0.1505149978E+01 -0.4464572279E+00 -0.3526354286E+00 -0.1367358312E+00
-0.1806179974E+01 -0.8415950290E+00 -0.7570317219E+00 -0.5198849846E+00
-0.2107209970E+01 -0.1186999880E+01 -0.1126267851E+01 -0.8990858409E+00
-0.2408239965E+01 -0.1501044390E+01 -0.1451180786E+01 -0.1250387454E+01
-0.2709269961E+01 -0.1805407683E+01 -0.1758691487E+01 -0.1579725424E+01
-0.3010299957E+01 -0.2107173626E+01 -0.2061311151E+01 -0.1895693424E+01
-0.3311329952E+01 -0.2408357564E+01 -0.2362702819E+01 -0.2204415253E+01
-0.3612359948E+01 -0.2709413858E+01 -0.2663803983E+01 -0.2509347269E+01
-0.3913389944E+01 -0.3010443998E+01 -0.2964841955E+01 -0.2812342380E+01
-0.4214419939E+01 -0.3311470137E+01 -0.3265868803E+01 -0.3114358323E+01
