log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.4433581306E+00 -0.3491536649E+00 -0.1339016290E+00
-0.1204119983E+01 -0.8401112638E+00 -0.7550743098E+00 -0.5183420213E+00
-0.1505149978E+01 -0.1186201928E+01 -0.1125214946E+01 -0.8982381542E+00
-0.1806179974E+01 -0.1500532341E+01 -0.1450589186E+01 -0.1249857555E+01
-0.2107209970E+01 -0.1805030192E+01 -0.1758331106E+01 -0.1579339070E+01
-0.2408239965E+01 -0.2106934071E+01 -0.2061066632E+01 -0.1895442697E+01
-0.2709269961E+01 -0.2408181663E+01 -0.2362516342E+01 -0.2204229819E+01
-0.3010299957E+01 -0.2709260698E+01 -0.2663646592E+01 -0.2509190132E+01
-0.3311329952E+01 -0.3010301826E+01 -0.2964699196E+01 -0.2812199643E+01
-0.3612359948E+01 -0.3311334233E+01 -0.3265733536E+01 -0.3114222955E+01
