log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1349329229E+01 -0.1323752968E+01 -0.1217853838E+01
-0.1204119983E+01 -0.1987847001E+01 -0.1901609808E+01 -0.1648411003E+01
-0.1505149978E+01 -0.2602494883E+01 -0.2509086946E+01 -0.2206830988E+01
-0.1806179974E+01 -0.3207743224E+01 -0.3112615251E+01 -0.2797850097E+01
-0.2107209970E+01 -0.3810601727E+01 -0.3715041707E+01 -0.3397140279E+01
-0.2408239965E+01 -0.4412861458E+01 -0.4317193277E+01 -0.3998507187E+01
-0.2709269961E+01 -0.5014971111E+01 -0.4919275774E+01 -0.4600393428E+01
-0.3010299957E+01 -0.5617042732E+01 -0.5521340185E+01 -0.5202408630E+01
