log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1257293518E+01 -0.1141802240E+01 -0.7917641977E+00
-0.1204119983E+01 -0.1091168585E+01 -0.1056415745E+01 -0.8102687322E+00
-0.1505149978E+01 -0.1567502517E+01 -0.1511743606E+01 -0.1157874645E+01
-0.1806179974E+01 -0.2140341744E+01 -0.2062059366E+01 -0.1657310625E+01
-0.2107209970E+01 -0.2750390386E+01 -0.2613492963E+01 -0.2181697114E+01
-0.2408239965E+01 -0.3200106304E+01 -0.3086205994E+01 -0.2708056252E+01
-0.2709269961E+01 -0.3474195241E+01 -0.3375459008E+01 -0.3044702950E+01
-0.3010299957E+01 -0.3752669736E+01 -0.3655188341E+01 -0.3330351314E+01
-0.3311329952E+01 -0.4042445964E+01 -0.3945461735E+01 -0.3623080791E+01
-0.3612359948E+01 -0.4337890999E+01 -0.4241138665E+01 -0.3919739529E+01
