log10(dx) log10(error)
 dx L1 L2 Inf
-0.1505149978E+01 -0.1349356216E+01 -0.1323779955E+01 -0.1217880825E+01
-0.1806179974E+01 -0.1987872759E+01 -0.1901635566E+01 -0.1648436761E+01
-0.2107209970E+01 -0.2602519688E+01 -0.2509111752E+01 -0.2206855793E+01
-0.2408239965E+01 -0.3207767790E+01 -0.3112639817E+01 -0.2797874664E+01
-0.2709269961E+01 -0.3810626222E+01 -0.3715066207E+01 -0.3397164782E+01
-0.3010299957E+01 -0.4412885911E+01 -0.4317217760E+01 -0.3998531684E+01
-0.3311329952E+01 -0.5014995836E+01 -0.4919300640E+01 -0.4600418362E+01
-0.3612359948E+01 -0.5617068315E+01 -0.5521366356E+01 -0.5202435026E+01
