log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.8425313743E+00 -0.8411008350E+00 -0.8084915566E+00
-0.1204119983E+01 -0.1324344962E+01 -0.1317711674E+01 -0.1219284046E+01
-0.1505149978E+01 -0.1897963227E+01 -0.1890015725E+01 -0.1769651807E+01
-0.1806179974E+01 -0.2492940908E+01 -0.2484635485E+01 -0.2358208448E+01
-0.2107209970E+01 -0.3093120395E+01 -0.3084652246E+01 -0.2956240952E+01
-0.2408239965E+01 -0.3694482433E+01 -0.3685825653E+01 -0.3556028194E+01
-0.2709269961E+01 -0.4295929357E+01 -0.4286926295E+01 -0.4155024538E+01
