log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1080463724E+01 -0.1053897287E+01 -0.8831409834E+00
-0.1204119983E+01 -0.1558149683E+01 -0.1495533678E+01 -0.1203740108E+01
-0.1505149978E+01 -0.2147467950E+01 -0.2023351712E+01 -0.1672368472E+01
-0.1806179974E+01 -0.2615882943E+01 -0.2498212095E+01 -0.2154265915E+01
-0.2107209970E+01 -0.2887680220E+01 -0.2783676945E+01 -0.2454059727E+01
-0.2408239965E+01 -0.3166285304E+01 -0.3065692239E+01 -0.2740900701E+01
-0.2709269961E+01 -0.3455751262E+01 -0.3356612749E+01 -0.3034094340E+01
-0.3010299957E+01 -0.3750975564E+01 -0.3652510017E+01 -0.3331098490E+01
-0.3311329952E+01 -0.4049099457E+01 -0.3950960090E+01 -0.3630104093E+01
-0.3612359948E+01 -0.4348675970E+01 -0.4250697323E+01 -0.3930116156E+01
-0.3913389944E+01 -0.4648979192E+01 -0.4551080294E+01 -0.4230637139E+01
