log10(dx) log10(error)
 dx L1 L2 Inf
-0.1204119983E+01 -0.1349452593E+01 -0.1323876332E+01 -0.1217977202E+01
-0.1505149978E+01 -0.1987964749E+01 -0.1901727555E+01 -0.1648528750E+01
-0.1806179974E+01 -0.2602608280E+01 -0.2509200343E+01 -0.2206944385E+01
-0.2107209970E+01 -0.3207855528E+01 -0.3112727555E+01 -0.2797962401E+01
-0.2408239965E+01 -0.3810713751E+01 -0.3715153736E+01 -0.3397252311E+01
-0.2709269961E+01 -0.4412973391E+01 -0.4317305239E+01 -0.3998619161E+01
-0.3010299957E+01 -0.5015083311E+01 -0.4919388097E+01 -0.4600505809E+01
-0.3311329952E+01 -0.5617155775E+01 -0.5521453740E+01 -0.5202522371E+01
-0.3612359948E+01 -0.6219219006E+01 -0.6123515271E+01 -0.5804571644E+01
