log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1079373751E+01 -0.1079373460E+01 -0.1078428017E+01
-0.1204119983E+01 -0.1084950724E+01 -0.1081724825E+01 -0.1034580685E+01
-0.1505149978E+01 -0.1560715694E+01 -0.1560636037E+01 -0.1547390581E+01
-0.1806179974E+01 -0.2133745017E+01 -0.2133238892E+01 -0.2097340992E+01
-0.2107209970E+01 -0.2728643734E+01 -0.2727975772E+01 -0.2685796946E+01
-0.2408239965E+01 -0.3328855671E+01 -0.3328125356E+01 -0.3283817167E+01
-0.2709269961E+01 -0.3930370868E+01 -0.3929586149E+01 -0.3883697899E+01
-0.3010299957E+01 -0.4531988269E+01 -0.4531106335E+01 -0.4482670152E+01
