log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.2208181586E+00 -0.1348931006E+00  0.7951513842E-01
-0.1204119983E+01 -0.4443848635E+00 -0.3503107273E+00 -0.1348340916E+00
-0.1505149978E+01 -0.8405805683E+00 -0.7557142065E+00 -0.5188329715E+00
-0.1806179974E+01 -0.1186436274E+01 -0.1125550210E+01 -0.8984923778E+00
-0.2107209970E+01 -0.1500669526E+01 -0.1450769677E+01 -0.1250003114E+01
-0.2408239965E+01 -0.1805122011E+01 -0.1758434239E+01 -0.1579435266E+01
-0.2709269961E+01 -0.2107003574E+01 -0.2061131063E+01 -0.1895515866E+01
-0.3010299957E+01 -0.2408222139E+01 -0.2362561400E+01 -0.2204274362E+01
-0.3311329952E+01 -0.2709293137E+01 -0.2663681944E+01 -0.2509225455E+01
-0.3612359948E+01 -0.3010331768E+01 -0.2964729665E+01 -0.2812230167E+01
