log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1771289882E+01 -0.1771289881E+01 -0.1771258143E+01
-0.1204119983E+01 -0.1705587617E+01 -0.1671176029E+01 -0.1514158606E+01
-0.1505149978E+01 -0.2358272681E+01 -0.2264214622E+01 -0.1992509030E+01
-0.1806179974E+01 -0.2973465046E+01 -0.2874381096E+01 -0.2567312643E+01
-0.2107209970E+01 -0.3573829528E+01 -0.3478604742E+01 -0.3165535755E+01
-0.2408239965E+01 -0.4176907825E+01 -0.4081252543E+01 -0.3768233793E+01
-0.2709269961E+01 -0.4779192421E+01 -0.4683552170E+01 -0.4370175265E+01
-0.3010299957E+01 -0.5381531294E+01 -0.5285854304E+01 -0.4972407125E+01
-0.3311329952E+01 -0.5984005501E+01 -0.5888325996E+01 -0.5574564165E+01
-0.3612359948E+01 -0.6586824248E+01 -0.6491134353E+01 -0.6176860609E+01
