log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.5597848868E+00 -0.5597848868E+00 -0.5597822981E+00
-0.1204119983E+01 -0.1838469814E+01 -0.1812888559E+01 -0.1706933806E+01
-0.1505149978E+01 -0.1274754349E+01 -0.1233473413E+01 -0.1035414343E+01
-0.1806179974E+01 -0.1927142914E+01 -0.1847230364E+01 -0.1521007733E+01
-0.2107209970E+01 -0.2541692144E+01 -0.2453309867E+01 -0.2096317647E+01
-0.2408239965E+01 -0.3146854665E+01 -0.3056346262E+01 -0.2691773693E+01
-0.2709269961E+01 -0.3749227676E+01 -0.3658600856E+01 -0.3292111288E+01
-0.3010299957E+01 -0.4351138009E+01 -0.4260607632E+01 -0.3893580700E+01
