log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.3158442908E+00 -0.1678370653E+00 -0.1694002140E-01
-0.1204119983E+01 -0.4396835806E+00 -0.3096280149E+00 -0.3529143842E-01
-0.1505149978E+01 -0.6588253255E+00 -0.5403337835E+00 -0.2681798043E+00
-0.1806179974E+01 -0.1074845110E+01 -0.9688161189E+00 -0.6894926930E+00
-0.2107209970E+01 -0.1436668029E+01 -0.1360728965E+01 -0.1093924821E+01
-0.2408239965E+01 -0.1757771481E+01 -0.1698023861E+01 -0.1459493572E+01
-0.2709269961E+01 -0.2064371229E+01 -0.2010365774E+01 -0.1796330530E+01
-0.3010299957E+01 -0.2366969654E+01 -0.2314782713E+01 -0.2116170181E+01
-0.3311329952E+01 -0.2668486170E+01 -0.2616900846E+01 -0.2426892959E+01
-0.3612359948E+01 -0.2969683172E+01 -0.2918315548E+01 -0.2732835488E+01
