log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1674265250E+01 -0.1648245597E+01 -0.1537929337E+01
-0.1204119983E+01 -0.1296136236E+01 -0.1247493215E+01 -0.1033379169E+01
-0.1505149978E+01 -0.1929303224E+01 -0.1838988822E+01 -0.1500305129E+01
-0.1806179974E+01 -0.2530698858E+01 -0.2424316377E+01 -0.2051853622E+01
-0.2107209970E+01 -0.3108498747E+01 -0.2992277965E+01 -0.2605451064E+01
-0.2408239965E+01 -0.3661792570E+01 -0.3524449125E+01 -0.3128419175E+01
-0.2709269961E+01 -0.4158797733E+01 -0.4004874087E+01 -0.3609132428E+01
-0.3010299957E+01 -0.4566277522E+01 -0.4429296425E+01 -0.4047065755E+01
-0.3311329952E+01 -0.4925161448E+01 -0.4803051599E+01 -0.4440694932E+01
-0.3612359948E+01 -0.5253353944E+01 -0.5142470753E+01 -0.4797512236E+01
-0.3913389944E+01 -0.5566710916E+01 -0.5462855580E+01 -0.5129551147E+01
-0.4214419939E+01 -0.5873480394E+01 -0.5773532262E+01 -0.5446998666E+01
