log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.3508848299E+00 -0.3508847866E+00 -0.3506958443E+00
-0.1204119983E+01 -0.1803414268E+01 -0.1803412897E+01 -0.1801502075E+01
-0.1505149978E+01 -0.1767227112E+01 -0.1733996832E+01 -0.1568669341E+01
-0.1806179974E+01 -0.2417955465E+01 -0.2327324729E+01 -0.2050170532E+01
-0.2107209970E+01 -0.3030900728E+01 -0.2936491053E+01 -0.2623125964E+01
-0.2408239965E+01 -0.3625703971E+01 -0.3529779773E+01 -0.3207928047E+01
-0.2709269961E+01 -0.4163215460E+01 -0.4069999611E+01 -0.3768907484E+01
-0.3010299957E+01 -0.4536482925E+01 -0.4495248500E+01 -0.4285693527E+01
-0.3311329952E+01 -0.4850298101E+01 -0.4828674484E+01 -0.4712549831E+01
-0.3612359948E+01 -0.5150734105E+01 -0.5132354529E+01 -0.5056541660E+01
-0.3913389944E+01 -0.5448870809E+01 -0.5431108710E+01 -0.5367196383E+01
-0.4214419939E+01 -0.5747751154E+01 -0.5730128935E+01 -0.5669404721E+01
