log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.6574454516E+00 -0.5392671235E+00 -0.2696515639E+00
-0.1204119983E+01 -0.1075738747E+01 -0.9708009191E+00 -0.6948227346E+00
-0.1505149978E+01 -0.1436977776E+01 -0.1362710767E+01 -0.1099396092E+01
-0.1806179974E+01 -0.1757514165E+01 -0.1699215108E+01 -0.1466401796E+01
-0.2107209970E+01 -0.2064104775E+01 -0.2010942731E+01 -0.1804299449E+01
-0.2408239965E+01 -0.2366687303E+01 -0.2314989769E+01 -0.2124534936E+01
-0.2709269961E+01 -0.2668160674E+01 -0.2616896594E+01 -0.2435447934E+01
-0.3010299957E+01 -0.2969331217E+01 -0.2918203010E+01 -0.2741490476E+01
-0.3311329952E+01 -0.3270415087E+01 -0.3219330354E+01 -0.3045043319E+01
-0.3612359948E+01 -0.3571467139E+01 -0.3520398771E+01 -0.3347338564E+01
