log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.4383780283E+00 -0.3076382713E+00 -0.3431846086E-01
-0.1204119983E+01 -0.6573446217E+00 -0.5389549182E+00 -0.2679959269E+00
-0.1505149978E+01 -0.1074867915E+01 -0.9693524298E+00 -0.6918920958E+00
-0.1806179974E+01 -0.1436625698E+01 -0.1361524008E+01 -0.1096842781E+01
-0.2107209970E+01 -0.1757499927E+01 -0.1698491168E+01 -0.1463169339E+01
-0.2408239965E+01 -0.2064249087E+01 -0.2010570886E+01 -0.1800582801E+01
-0.2709269961E+01 -0.2366780747E+01 -0.2314851487E+01 -0.2120825135E+01
-0.3010299957E+01 -0.2668297508E+01 -0.2616878514E+01 -0.2431695569E+01
-0.3311329952E+01 -0.2969484480E+01 -0.2918245972E+01 -0.2737707447E+01
-0.3612359948E+01 -0.3270575552E+01 -0.3219404087E+01 -0.3041242753E+01
