log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.7212486175E+00 -0.5936684417E+00 -0.3098035729E+00
-0.1204119983E+01 -0.1106596123E+01 -0.9958223728E+00 -0.7082271542E+00
-0.1505149978E+01 -0.1442007349E+01 -0.1358332808E+01 -0.1085822028E+01
-0.1806179974E+01 -0.1749783374E+01 -0.1682465025E+01 -0.1427089994E+01
-0.2107209970E+01 -0.2051435861E+01 -0.1991335336E+01 -0.1750664631E+01
-0.2408239965E+01 -0.2352172771E+01 -0.2295161192E+01 -0.2063073929E+01
-0.2709269961E+01 -0.2652895781E+01 -0.2597286561E+01 -0.2369877428E+01
-0.3010299957E+01 -0.2953758143E+01 -0.2898785906E+01 -0.2673822037E+01
-0.3311329952E+01 -0.3254702273E+01 -0.3200030632E+01 -0.2976310386E+01
-0.3612359948E+01 -0.3555690084E+01 -0.3501163031E+01 -0.3278071370E+01
