log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.6818027553E+00 -0.5392888302E+00 -0.2537656117E+00
-0.1204119983E+01 -0.1080874839E+01 -0.9274642018E+00 -0.5664357507E+00
-0.1505149978E+01 -0.1401591656E+01 -0.1290209433E+01 -0.9318376020E+00
-0.1806179974E+01 -0.1706172800E+01 -0.1612247355E+01 -0.1284544617E+01
-0.2107209970E+01 -0.2008148319E+01 -0.1919099685E+01 -0.1617474829E+01
-0.2408239965E+01 -0.2309403966E+01 -0.2221589881E+01 -0.1936088409E+01
-0.2709269961E+01 -0.2610476142E+01 -0.2522966280E+01 -0.2246342831E+01
-0.3010299957E+01 -0.2911511426E+01 -0.2824071899E+01 -0.2552096675E+01
-0.3311329952E+01 -0.3212540687E+01 -0.3125115168E+01 -0.2855516975E+01
-0.3612359948E+01 -0.3513569227E+01 -0.3426145650E+01 -0.3157747587E+01
