log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1052603610E+01 -0.8883965270E+00 -0.5652144868E+00
-0.1204119983E+01 -0.1410707680E+01 -0.1253884857E+01 -0.8732511241E+00
-0.1505149978E+01 -0.1714923120E+01 -0.1588954274E+01 -0.1215172043E+01
-0.1806179974E+01 -0.2008431443E+01 -0.1897108685E+01 -0.1541249485E+01
-0.2107209970E+01 -0.2303773832E+01 -0.2198410607E+01 -0.1854887031E+01
-0.2408239965E+01 -0.2601522380E+01 -0.2498786479E+01 -0.2161159353E+01
-0.2709269961E+01 -0.2900825136E+01 -0.2799316267E+01 -0.2464853066E+01
-0.3010299957E+01 -0.3200975641E+01 -0.3100058628E+01 -0.2767229508E+01
-0.3311329952E+01 -0.3501562660E+01 -0.3400936143E+01 -0.3068920684E+01
-0.3612359948E+01 -0.3802368585E+01 -0.3701886032E+01 -0.3370280120E+01
