log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1819903700E+01 -0.1819894266E+01 -0.1815493515E+01
-0.1204119983E+01 -0.1932749925E+01 -0.1894633270E+01 -0.1712040082E+01
-0.1505149978E+01 -0.2569972941E+01 -0.2478516680E+01 -0.2194378032E+01
-0.1806179974E+01 -0.3171418029E+01 -0.3078603474E+01 -0.2761926980E+01
-0.2107209970E+01 -0.3745131128E+01 -0.3650683352E+01 -0.3329711761E+01
-0.2408239965E+01 -0.4205562572E+01 -0.4134560160E+01 -0.3870248219E+01
-0.2709269961E+01 -0.4530620603E+01 -0.4502452143E+01 -0.4342179478E+01
-0.3010299957E+01 -0.4835628930E+01 -0.4816139727E+01 -0.4724442784E+01
-0.3311329952E+01 -0.5135286633E+01 -0.5117304794E+01 -0.5049173406E+01
-0.3612359948E+01 -0.5434530476E+01 -0.5416862264E+01 -0.5354926054E+01
-0.3913389944E+01 -0.5734369520E+01 -0.5716774846E+01 -0.5656583021E+01
-0.4214419939E+01 -0.6034724284E+01 -0.6017148102E+01 -0.5957514008E+01
