log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.5598154228E+00 -0.5598153615E+00 -0.5595463232E+00
-0.1204119983E+01 -0.1658995763E+01 -0.1633353698E+01 -0.1526172727E+01
-0.1505149978E+01 -0.1235056421E+01 -0.1190125252E+01 -0.9832969153E+00
-0.1806179974E+01 -0.1872952403E+01 -0.1787583648E+01 -0.1454213643E+01
-0.2107209970E+01 -0.2479100778E+01 -0.2380676766E+01 -0.2013975181E+01
-0.2408239965E+01 -0.3067976704E+01 -0.2961540572E+01 -0.2581272772E+01
-0.2709269961E+01 -0.3635055512E+01 -0.3511052086E+01 -0.3119327934E+01
-0.3010299957E+01 -0.4157834494E+01 -0.4007414956E+01 -0.3609743355E+01
-0.3311329952E+01 -0.4591787192E+01 -0.4448647527E+01 -0.4059824996E+01
-0.3612359948E+01 -0.4961928102E+01 -0.4834841310E+01 -0.4465109219E+01
-0.3913389944E+01 -0.5295609612E+01 -0.5181315067E+01 -0.4830789010E+01
-0.4214419939E+01 -0.5611063566E+01 -0.5505232708E+01 -0.5168500856E+01
