log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.2207289698E+00 -0.2150179102E+00 -0.9255219177E-01
-0.1204119983E+01 -0.6056740033E+00 -0.5589369927E+00 -0.3763867960E+00
-0.1505149978E+01 -0.7239881137E+00 -0.6786978397E+00 -0.4192643201E+00
-0.1806179974E+01 -0.1223596171E+01 -0.1125792931E+01 -0.7498638779E+00
-0.2107209970E+01 -0.1691718782E+01 -0.1567668491E+01 -0.1135648195E+01
-0.2408239965E+01 -0.2041894377E+01 -0.1935601949E+01 -0.1505280055E+01
-0.2709269961E+01 -0.2356085389E+01 -0.2257975702E+01 -0.1849000790E+01
-0.3010299957E+01 -0.2660320223E+01 -0.2564585142E+01 -0.2172473817E+01
-0.3311329952E+01 -0.2962131274E+01 -0.2867060399E+01 -0.2485559027E+01
-0.3612359948E+01 -0.3263343809E+01 -0.3168457022E+01 -0.2792795713E+01
