log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.3508954334E+00 -0.3508954334E+00 -0.3508936093E+00
-0.1204119983E+01 -0.1707182200E+01 -0.1707182198E+01 -0.1707110785E+01
-0.1505149978E+01 -0.1632822993E+01 -0.1600999763E+01 -0.1450552846E+01
-0.1806179974E+01 -0.2276462593E+01 -0.2184959364E+01 -0.1915376453E+01
-0.2107209970E+01 -0.2892085512E+01 -0.2793292876E+01 -0.2485906226E+01
-0.2408239965E+01 -0.3492298940E+01 -0.3397028808E+01 -0.3082439102E+01
-0.2709269961E+01 -0.4095237875E+01 -0.3999531832E+01 -0.3684413822E+01
-0.3010299957E+01 -0.4697436659E+01 -0.4601745251E+01 -0.4286606925E+01
