log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.5880702077E+00 -0.4933987247E+00 -0.3122640818E+00
-0.1204119983E+01 -0.7035393018E+00 -0.5978025150E+00 -0.3285968766E+00
-0.1505149978E+01 -0.1144880249E+01 -0.1000324720E+01 -0.6466017043E+00
-0.1806179974E+01 -0.1487849563E+01 -0.1378197088E+01 -0.1013489767E+01
-0.2107209970E+01 -0.1799843056E+01 -0.1707266940E+01 -0.1368423932E+01
-0.2408239965E+01 -0.2103421337E+01 -0.2015889040E+01 -0.1702206408E+01
-0.2709269961E+01 -0.2405036231E+01 -0.2318860814E+01 -0.2021746571E+01
-0.3010299957E+01 -0.2706191789E+01 -0.2620354948E+01 -0.2332549991E+01
-0.3311329952E+01 -0.3007238729E+01 -0.2921485869E+01 -0.2638510717E+01
-0.3612359948E+01 -0.3308265772E+01 -0.3222533251E+01 -0.2942037634E+01
