log10(dx) log10(error)
 dx L1 L2 Inf
-0.9030899870E+00 -0.1696887631E+01 -0.1671309047E+01 -0.1565388075E+01
-0.1204119983E+01 -0.1233004553E+01 -0.1191089146E+01 -0.9918684057E+00
-0.1505149978E+01 -0.1877080577E+01 -0.1796765623E+01 -0.1470058435E+01
-0.1806179974E+01 -0.2489317694E+01 -0.2400597116E+01 -0.2043242287E+01
-0.2107209970E+01 -0.3093894823E+01 -0.3003059472E+01 -0.2638147013E+01
-0.2408239965E+01 -0.3696041522E+01 -0.3605149872E+01 -0.3238316811E+01
-0.2709269961E+01 -0.4297925531E+01 -0.4207077377E+01 -0.3839687328E+01
-0.3010299957E+01 -0.4899844156E+01 -0.4808823482E+01 -0.4441140051E+01
-0.3311329952E+01 -0.5501549469E+01 -0.5410240657E+01 -0.5042177903E+01
-0.3612359948E+01 -0.6102910290E+01 -0.6010998371E+01 -0.5642238295E+01
