log10(dx) log10(L1)
 0.301030E+00 -0.833875E+00
 0.000000E+00 -0.145618E+01
-0.176091E+00 -0.183029E+01
-0.301030E+00 -0.210853E+01
-0.397940E+00 -0.233699E+01
-0.477121E+00 -0.253504E+01
-0.544068E+00 -0.271236E+01
-0.602060E+00 -0.287476E+01
-0.653212E+00 -0.302611E+01
-0.698970E+00 -0.316818E+01
-0.740363E+00 -0.330298E+01
-0.778151E+00 -0.343121E+01
-0.812913E+00 -0.355456E+01
-0.845098E+00 -0.367210E+01
-0.875061E+00 -0.378503E+01
-0.903090E+00 -0.389369E+01
-0.929419E+00 -0.399750E+01
-0.954243E+00 -0.409738E+01
-0.977724E+00 -0.419284E+01
-0.100000E+01 -0.428464E+01
-0.102119E+01 -0.437275E+01
-0.104139E+01 -0.445727E+01
-0.106070E+01 -0.453854E+01
-0.107918E+01 -0.461694E+01
-0.109691E+01 -0.469329E+01
-0.111394E+01 -0.476609E+01
-0.113033E+01 -0.483762E+01
-0.114613E+01 -0.490648E+01
-0.116137E+01 -0.497354E+01
-0.117609E+01 -0.503881E+01
-0.119033E+01 -0.510211E+01
-0.120412E+01 -0.516363E+01
-0.121748E+01 -0.522419E+01
-0.123045E+01 -0.528386E+01
-0.124304E+01 -0.534195E+01
-0.125527E+01 -0.539883E+01
-0.126717E+01 -0.545491E+01
-0.127875E+01 -0.551086E+01
-0.129003E+01 -0.556481E+01
-0.130103E+01 -0.561930E+01
-0.131175E+01 -0.567295E+01
-0.132222E+01 -0.572613E+01
-0.133244E+01 -0.577687E+01
-0.134242E+01 -0.582934E+01
-0.135218E+01 -0.588088E+01
-0.136173E+01 -0.593359E+01
-0.137107E+01 -0.598530E+01
-0.138021E+01 -0.603585E+01
-0.138917E+01 -0.608569E+01
-0.139794E+01 -0.612356E+01
-0.140654E+01 -0.613958E+01
-0.141497E+01 -0.615629E+01
-0.142325E+01 -0.617243E+01
-0.143136E+01 -0.618920E+01
-0.143933E+01 -0.620337E+01
-0.144716E+01 -0.622049E+01
-0.145484E+01 -0.623398E+01
-0.146240E+01 -0.624956E+01
-0.146982E+01 -0.626257E+01
-0.147712E+01 -0.627905E+01
-0.148430E+01 -0.629297E+01
-0.149136E+01 -0.630853E+01
-0.149831E+01 -0.631978E+01
-0.150515E+01 -0.633579E+01
-0.151188E+01 -0.634666E+01
-0.151851E+01 -0.636157E+01
-0.152504E+01 -0.637626E+01
-0.153148E+01 -0.638870E+01
-0.153782E+01 -0.639978E+01
-0.154407E+01 -0.641292E+01
-0.155023E+01 -0.642691E+01
-0.155630E+01 -0.643844E+01
-0.156229E+01 -0.644859E+01
-0.156820E+01 -0.646192E+01
-0.157403E+01 -0.647237E+01
-0.157978E+01 -0.648441E+01
-0.158546E+01 -0.649741E+01
-0.159106E+01 -0.650734E+01
-0.159660E+01 -0.651720E+01
-0.160206E+01 -0.652950E+01
-0.160746E+01 -0.653975E+01
-0.161278E+01 -0.655243E+01
-0.161805E+01 -0.655958E+01
-0.162325E+01 -0.657224E+01
-0.162839E+01 -0.658230E+01
-0.163347E+01 -0.659343E+01
-0.163849E+01 -0.660094E+01
-0.164345E+01 -0.661130E+01
-0.164836E+01 -0.662060E+01
-0.165321E+01 -0.663349E+01
