log10(dx) log10(L1)
-0.165801E+01 -0.663988E+01
-0.166276E+01 -0.665212E+01
-0.166745E+01 -0.666212E+01
-0.167210E+01 -0.666822E+01
-0.167669E+01 -0.667676E+01
-0.168124E+01 -0.668737E+01
-0.168574E+01 -0.669739E+01
-0.169020E+01 -0.670701E+01
-0.169461E+01 -0.671595E+01
-0.169897E+01 -0.672559E+01
-0.170329E+01 -0.673502E+01
-0.170757E+01 -0.674343E+01
-0.171181E+01 -0.674977E+01
-0.171600E+01 -0.675956E+01
-0.172016E+01 -0.676831E+01
-0.172428E+01 -0.677570E+01
-0.172835E+01 -0.678314E+01
-0.173239E+01 -0.679199E+01
-0.173640E+01 -0.679824E+01
-0.174036E+01 -0.680747E+01
-0.174429E+01 -0.681578E+01
-0.174819E+01 -0.682316E+01
-0.175205E+01 -0.682982E+01
-0.175587E+01 -0.683822E+01
-0.175967E+01 -0.684578E+01
-0.176343E+01 -0.685338E+01
-0.176716E+01 -0.686095E+01
-0.177085E+01 -0.686880E+01
-0.177452E+01 -0.687587E+01
-0.177815E+01 -0.688311E+01
-0.178176E+01 -0.689125E+01
-0.178533E+01 -0.689839E+01
-0.178888E+01 -0.690643E+01
-0.179239E+01 -0.691228E+01
-0.179588E+01 -0.691920E+01
-0.179934E+01 -0.692623E+01
-0.180277E+01 -0.693283E+01
-0.180618E+01 -0.694107E+01
-0.180956E+01 -0.694606E+01
-0.181291E+01 -0.695380E+01
-0.181624E+01 -0.696165E+01
-0.181954E+01 -0.696640E+01
-0.182282E+01 -0.697313E+01
-0.182607E+01 -0.698101E+01
-0.182930E+01 -0.698607E+01
-0.183251E+01 -0.699300E+01
-0.183569E+01 -0.699919E+01
-0.183885E+01 -0.700600E+01
-0.184198E+01 -0.701116E+01
-0.184510E+01 -0.701916E+01
-0.184819E+01 -0.702490E+01
-0.185126E+01 -0.703130E+01
-0.185431E+01 -0.703716E+01
-0.185733E+01 -0.704322E+01
-0.186034E+01 -0.704855E+01
-0.186332E+01 -0.705419E+01
-0.186629E+01 -0.706029E+01
-0.186923E+01 -0.706564E+01
-0.187216E+01 -0.707245E+01
-0.187506E+01 -0.707799E+01
-0.187795E+01 -0.708341E+01
-0.188081E+01 -0.708906E+01
-0.188366E+01 -0.709677E+01
-0.188649E+01 -0.710098E+01
-0.188930E+01 -0.710603E+01
-0.189209E+01 -0.711330E+01
-0.189487E+01 -0.711801E+01
-0.189763E+01 -0.712281E+01
-0.190037E+01 -0.712856E+01
-0.190309E+01 -0.713397E+01
-0.190580E+01 -0.714012E+01
-0.190849E+01 -0.714596E+01
-0.191116E+01 -0.714945E+01
-0.191381E+01 -0.715608E+01
-0.191645E+01 -0.716114E+01
-0.191908E+01 -0.716516E+01
-0.192169E+01 -0.717059E+01
-0.192428E+01 -0.717619E+01
-0.192686E+01 -0.718240E+01
-0.192942E+01 -0.718719E+01
-0.193197E+01 -0.719283E+01
-0.193450E+01 -0.719686E+01
-0.193702E+01 -0.720126E+01
-0.193952E+01 -0.720725E+01
-0.194201E+01 -0.721164E+01
-0.194448E+01 -0.721662E+01
-0.194694E+01 -0.722244E+01
-0.194939E+01 -0.722714E+01
-0.195182E+01 -0.723248E+01
-0.195424E+01 -0.723763E+01
-0.195665E+01 -0.724350E+01
-0.195904E+01 -0.724782E+01
-0.196142E+01 -0.725159E+01
-0.196379E+01 -0.725721E+01
-0.196614E+01 -0.726131E+01
-0.196848E+01 -0.726545E+01
-0.197081E+01 -0.727015E+01
-0.197313E+01 -0.727499E+01
-0.197543E+01 -0.727988E+01
-0.197772E+01 -0.728488E+01
-0.198000E+01 -0.728894E+01
-0.198227E+01 -0.729416E+01
-0.198453E+01 -0.729711E+01
-0.198677E+01 -0.730188E+01
-0.198900E+01 -0.730710E+01
-0.199123E+01 -0.731142E+01
-0.199344E+01 -0.731528E+01
-0.199564E+01 -0.732063E+01
-0.199782E+01 -0.732455E+01
-0.200000E+01 -0.732924E+01
-0.200217E+01 -0.733321E+01
-0.200432E+01 -0.733717E+01
-0.200647E+01 -0.734216E+01
-0.200860E+01 -0.734642E+01
-0.201072E+01 -0.735022E+01
-0.201284E+01 -0.735471E+01
-0.201494E+01 -0.735998E+01
-0.201703E+01 -0.736285E+01
-0.201912E+01 -0.736693E+01
-0.202119E+01 -0.737188E+01
-0.202325E+01 -0.737523E+01
-0.202531E+01 -0.737920E+01
-0.202735E+01 -0.738347E+01
-0.202938E+01 -0.738669E+01
-0.203141E+01 -0.739156E+01
-0.203342E+01 -0.739567E+01
-0.203543E+01 -0.739945E+01
-0.203743E+01 -0.740396E+01
-0.203941E+01 -0.740775E+01
-0.204139E+01 -0.741108E+01
-0.204336E+01 -0.741544E+01
-0.204532E+01 -0.741888E+01
-0.204727E+01 -0.742475E+01
-0.204922E+01 -0.742800E+01
-0.205115E+01 -0.743094E+01
-0.205308E+01 -0.743589E+01
-0.205500E+01 -0.743840E+01
-0.205690E+01 -0.744236E+01
-0.205881E+01 -0.744646E+01
-0.206070E+01 -0.745045E+01
-0.206258E+01 -0.745396E+01
-0.206446E+01 -0.745841E+01
-0.206633E+01 -0.746133E+01
-0.206819E+01 -0.746527E+01
-0.207004E+01 -0.747024E+01
-0.207188E+01 -0.747265E+01
-0.207372E+01 -0.747693E+01
-0.207555E+01 -0.748159E+01
-0.207737E+01 -0.748397E+01
-0.207918E+01 -0.748770E+01
-0.208099E+01 -0.749090E+01
-0.208279E+01 -0.749458E+01
-0.208458E+01 -0.749820E+01
-0.208636E+01 -0.750237E+01
-0.208814E+01 -0.750598E+01
-0.208991E+01 -0.750891E+01
-0.209167E+01 -0.751200E+01
-0.209342E+01 -0.751602E+01
-0.209517E+01 -0.752036E+01
-0.209691E+01 -0.752368E+01
-0.209864E+01 -0.752744E+01
-0.210037E+01 -0.752946E+01
-0.210209E+01 -0.753277E+01
-0.210380E+01 -0.753701E+01
-0.210551E+01 -0.753978E+01
-0.210721E+01 -0.754440E+01
-0.210890E+01 -0.754931E+01
-0.211059E+01 -0.755030E+01
-0.211227E+01 -0.755425E+01
-0.211394E+01 -0.755865E+01
