log10(dx) cell
 0.301030E+00  0.100000E+01
 0.000000E+00  0.100000E+01
-0.176091E+00  0.100000E+01
-0.301030E+00  0.100000E+01
-0.397940E+00  0.100000E+01
-0.477121E+00  0.480000E+02
-0.544068E+00  0.560000E+02
-0.602060E+00  0.640000E+02
-0.653212E+00  0.720000E+02
-0.698970E+00  0.800000E+02
-0.740363E+00  0.880000E+02
-0.778151E+00  0.960000E+02
-0.812913E+00  0.104000E+03
-0.845098E+00  0.112000E+03
-0.875061E+00  0.120000E+03
-0.903090E+00  0.128000E+03
-0.929419E+00  0.136000E+03
-0.954243E+00  0.144000E+03
-0.977724E+00  0.152000E+03
-0.100000E+01  0.160000E+03
-0.102119E+01  0.168000E+03
-0.104139E+01  0.176000E+03
-0.106070E+01  0.184000E+03
-0.107918E+01  0.192000E+03
-0.109691E+01  0.200000E+03
-0.111394E+01  0.208000E+03
-0.113033E+01  0.216000E+03
-0.114613E+01  0.224000E+03
-0.116137E+01  0.232000E+03
-0.117609E+01  0.240000E+03
-0.119033E+01  0.248000E+03
-0.120412E+01  0.256000E+03
-0.121748E+01  0.264000E+03
-0.123045E+01  0.272000E+03
-0.124304E+01  0.280000E+03
-0.125527E+01  0.288000E+03
-0.126717E+01  0.296000E+03
-0.127875E+01  0.304000E+03
-0.129003E+01  0.312000E+03
-0.130103E+01  0.320000E+03
-0.131175E+01  0.328000E+03
-0.132222E+01  0.336000E+03
-0.133244E+01  0.344000E+03
-0.134242E+01  0.352000E+03
-0.135218E+01  0.360000E+03
-0.136173E+01  0.368000E+03
-0.137107E+01  0.376000E+03
-0.138021E+01  0.384000E+03
-0.138917E+01  0.392000E+03
-0.139794E+01  0.400000E+03
-0.140654E+01  0.408000E+03
-0.141497E+01  0.416000E+03
-0.142325E+01  0.424000E+03
-0.143136E+01  0.432000E+03
-0.143933E+01  0.440000E+03
-0.144716E+01  0.448000E+03
-0.145484E+01  0.456000E+03
-0.146240E+01  0.464000E+03
-0.146982E+01  0.472000E+03
-0.147712E+01  0.480000E+03
-0.148430E+01  0.488000E+03
-0.149136E+01  0.496000E+03
-0.149831E+01  0.504000E+03
-0.150515E+01  0.512000E+03
-0.151188E+01  0.520000E+03
-0.151851E+01  0.528000E+03
-0.152504E+01  0.536000E+03
-0.153148E+01  0.544000E+03
-0.153782E+01  0.552000E+03
-0.154407E+01  0.560000E+03
-0.155023E+01  0.100000E+01
-0.155630E+01  0.100000E+01
-0.156229E+01  0.100000E+01
-0.156820E+01  0.100000E+01
-0.157403E+01  0.100000E+01
-0.157978E+01  0.100000E+01
-0.158546E+01  0.100000E+01
-0.159106E+01  0.100000E+01
-0.159660E+01  0.100000E+01
-0.160206E+01  0.100000E+01
-0.160746E+01  0.100000E+01
-0.161278E+01  0.100000E+01
-0.161805E+01  0.100000E+01
-0.162325E+01  0.100000E+01
-0.162839E+01  0.100000E+01
-0.163347E+01  0.100000E+01
-0.163849E+01  0.100000E+01
-0.164345E+01  0.100000E+01
-0.164836E+01  0.100000E+01
-0.165321E+01  0.100000E+01
-0.165801E+01  0.100000E+01
-0.166276E+01  0.100000E+01
-0.166745E+01  0.100000E+01
-0.167210E+01  0.100000E+01
-0.167669E+01  0.100000E+01
-0.168124E+01  0.100000E+01
-0.168574E+01  0.100000E+01
-0.169020E+01  0.100000E+01
-0.169461E+01  0.100000E+01
-0.169897E+01  0.100000E+01
-0.170329E+01  0.100000E+01
-0.170757E+01  0.100000E+01
-0.171181E+01  0.100000E+01
-0.171600E+01  0.100000E+01
-0.172016E+01  0.100000E+01
-0.172428E+01  0.100000E+01
-0.172835E+01  0.100000E+01
-0.173239E+01  0.100000E+01
-0.173640E+01  0.100000E+01
-0.174036E+01  0.100000E+01
-0.174429E+01  0.100000E+01
-0.174819E+01  0.100000E+01
-0.175205E+01  0.100000E+01
-0.175587E+01  0.100000E+01
-0.175967E+01  0.100000E+01
-0.176343E+01  0.100000E+01
-0.176716E+01  0.100000E+01
-0.177085E+01  0.100000E+01
-0.177452E+01  0.100000E+01
-0.177815E+01  0.100000E+01
-0.178176E+01  0.100000E+01
-0.178533E+01  0.100000E+01
-0.178888E+01  0.100000E+01
-0.179239E+01  0.100000E+01
-0.179588E+01  0.100000E+01
-0.179934E+01  0.100000E+01
-0.180277E+01  0.100000E+01
-0.180618E+01  0.100000E+01
-0.180956E+01  0.100000E+01
-0.181291E+01  0.100000E+01
-0.181624E+01  0.100000E+01
-0.181954E+01  0.100000E+01
-0.182282E+01  0.100000E+01
-0.182607E+01  0.100000E+01
-0.182930E+01  0.100000E+01
-0.183251E+01  0.100000E+01
-0.183569E+01  0.100000E+01
-0.183885E+01  0.100000E+01
-0.184198E+01  0.100000E+01
-0.184510E+01  0.100000E+01
-0.184819E+01  0.100000E+01
-0.185126E+01  0.100000E+01
-0.185431E+01  0.100000E+01
-0.185733E+01  0.100000E+01
-0.186034E+01  0.100000E+01
-0.186332E+01  0.100000E+01
-0.186629E+01  0.100000E+01
-0.186923E+01  0.100000E+01
-0.187216E+01  0.100000E+01
-0.187506E+01  0.100000E+01
-0.187795E+01  0.100000E+01
-0.188081E+01  0.100000E+01
-0.188366E+01  0.100000E+01
-0.188649E+01  0.100000E+01
-0.188930E+01  0.100000E+01
-0.189209E+01  0.100000E+01
-0.189487E+01  0.100000E+01
-0.189763E+01  0.100000E+01
-0.190037E+01  0.100000E+01
-0.190309E+01  0.100000E+01
-0.190580E+01  0.100000E+01
-0.190849E+01  0.100000E+01
-0.191116E+01  0.100000E+01
-0.191381E+01  0.100000E+01
