log10(dx) log10(L2)
-0.194939E+01 -0.647113E+01
-0.195182E+01 -0.647479E+01
-0.195424E+01 -0.647829E+01
-0.195665E+01 -0.648091E+01
-0.195904E+01 -0.648455E+01
-0.196142E+01 -0.648762E+01
-0.196379E+01 -0.649111E+01
-0.196614E+01 -0.649460E+01
-0.196848E+01 -0.649729E+01
-0.197081E+01 -0.649979E+01
-0.197313E+01 -0.650371E+01
-0.197543E+01 -0.650664E+01
-0.197772E+01 -0.651001E+01
-0.198000E+01 -0.651300E+01
-0.198227E+01 -0.651591E+01
-0.198453E+01 -0.651928E+01
-0.198677E+01 -0.652207E+01
-0.198900E+01 -0.652546E+01
-0.199123E+01 -0.652831E+01
-0.199344E+01 -0.653106E+01
-0.199564E+01 -0.653439E+01
-0.199782E+01 -0.653713E+01
-0.200000E+01 -0.654090E+01
-0.200217E+01 -0.654320E+01
-0.200432E+01 -0.654648E+01
-0.200647E+01 -0.654915E+01
-0.200860E+01 -0.655271E+01
-0.201072E+01 -0.655498E+01
-0.201284E+01 -0.655818E+01
-0.201494E+01 -0.656083E+01
-0.201703E+01 -0.656397E+01
-0.201912E+01 -0.656712E+01
-0.202119E+01 -0.656965E+01
-0.202325E+01 -0.657321E+01
-0.202531E+01 -0.657533E+01
-0.202735E+01 -0.657886E+01
-0.202938E+01 -0.658101E+01
-0.203141E+01 -0.658401E+01
-0.203342E+01 -0.658700E+01
-0.203543E+01 -0.658956E+01
-0.203743E+01 -0.659258E+01
-0.203941E+01 -0.659505E+01
-0.204139E+01 -0.659788E+01
-0.204336E+01 -0.660096E+01
-0.204532E+01 -0.660336E+01
-0.204727E+01 -0.660624E+01
-0.204922E+01 -0.660875E+01
-0.205115E+01 -0.661153E+01
-0.205308E+01 -0.661483E+01
-0.205500E+01 -0.661678E+01
-0.205690E+01 -0.661970E+01
-0.205881E+01 -0.662258E+01
-0.206070E+01 -0.662492E+01
-0.206258E+01 -0.662770E+01
-0.206446E+01 -0.663055E+01
-0.206633E+01 -0.663284E+01
-0.206819E+01 -0.663558E+01
-0.207004E+01 -0.663880E+01
-0.207188E+01 -0.664059E+01
