log10(dx) log10(L_inf)
-0.194694E+01 -0.542542E+01
-0.194939E+01 -0.542736E+01
-0.195182E+01 -0.542977E+01
-0.195424E+01 -0.543190E+01
-0.195665E+01 -0.543340E+01
-0.195904E+01 -0.543581E+01
-0.196142E+01 -0.543767E+01
-0.196379E+01 -0.543972E+01
-0.196614E+01 -0.544207E+01
-0.196848E+01 -0.544370E+01
-0.197081E+01 -0.544515E+01
-0.197313E+01 -0.544778E+01
-0.197543E+01 -0.544951E+01
-0.197772E+01 -0.545150E+01
-0.198000E+01 -0.545352E+01
-0.198227E+01 -0.545526E+01
-0.198453E+01 -0.545753E+01
-0.198677E+01 -0.545916E+01
-0.198900E+01 -0.546139E+01
-0.199123E+01 -0.546307E+01
-0.199344E+01 -0.546466E+01
-0.199564E+01 -0.546688E+01
-0.199782E+01 -0.546855E+01
-0.200000E+01 -0.547102E+01
-0.200217E+01 -0.547237E+01
-0.200432E+01 -0.547459E+01
-0.200647E+01 -0.547609E+01
-0.200860E+01 -0.547848E+01
-0.201072E+01 -0.547979E+01
-0.201284E+01 -0.548196E+01
-0.201494E+01 -0.548347E+01
-0.201703E+01 -0.548558E+01
-0.201912E+01 -0.548768E+01
-0.202119E+01 -0.548914E+01
-0.202325E+01 -0.549151E+01
-0.202531E+01 -0.549271E+01
-0.202735E+01 -0.549509E+01
-0.202938E+01 -0.549629E+01
-0.203141E+01 -0.549837E+01
-0.203342E+01 -0.550034E+01
-0.203543E+01 -0.550183E+01
-0.203743E+01 -0.550390E+01
-0.203941E+01 -0.550529E+01
-0.204139E+01 -0.550718E+01
-0.204336E+01 -0.550922E+01
-0.204532E+01 -0.551063E+01
-0.204727E+01 -0.551254E+01
-0.204922E+01 -0.551401E+01
-0.205115E+01 -0.551586E+01
-0.205308E+01 -0.551796E+01
-0.205500E+01 -0.551915E+01
-0.205690E+01 -0.552113E+01
-0.205881E+01 -0.552302E+01
-0.206070E+01 -0.552438E+01
-0.206258E+01 -0.552622E+01
-0.206446E+01 -0.552813E+01
-0.206633E+01 -0.552943E+01
-0.206819E+01 -0.553129E+01
-0.207004E+01 -0.553340E+01
-0.207188E+01 -0.553437E+01
-0.207372E+01 -0.553629E+01
-0.207555E+01 -0.553814E+01
-0.207737E+01 -0.553968E+01
-0.207918E+01 -0.554155E+01
-0.208099E+01 -0.554302E+01
-0.208279E+01 -0.554424E+01
-0.208458E+01 -0.554628E+01
-0.208636E+01 -0.554815E+01
