height temperature
 height fluid solid
 0.1220703125E-03  0.8719175736E+03  0.6511098053E+03
 0.3662109375E-03  0.8718239928E+03  0.6511093938E+03
 0.6103515625E-03  0.8717304241E+03  0.6511085717E+03
 0.8544921875E-03  0.8716368672E+03  0.6511073399E+03
 0.1098632812E-02  0.8715433221E+03  0.6511056994E+03
 0.1342773438E-02  0.8714497885E+03  0.6511036510E+03
 0.1586914062E-02  0.8713562662E+03  0.6511011957E+03
 0.1831054688E-02  0.8712627551E+03  0.6510983345E+03
 0.2075195312E-02  0.8711692550E+03  0.6510950682E+03
 0.2319335938E-02  0.8710757658E+03  0.6510913978E+03
 0.2563476562E-02  0.8709822873E+03  0.6510873241E+03
 0.2807617188E-02  0.8708888193E+03  0.6510828481E+03
 0.3051757812E-02  0.8707953616E+03  0.6510779708E+03
 0.3295898438E-02  0.8707019141E+03  0.6510726929E+03
 0.3540039062E-02  0.8706084767E+03  0.6510670154E+03
 0.3784179688E-02  0.8705150491E+03  0.6510609393E+03
 0.4028320312E-02  0.8704216311E+03  0.6510544654E+03
 0.4272460938E-02  0.8703282227E+03  0.6510475947E+03
 0.4516601562E-02  0.8702348237E+03  0.6510403279E+03
 0.4760742188E-02  0.8701414338E+03  0.6510326662E+03
 0.5004882812E-02  0.8700480530E+03  0.6510246102E+03
 0.5249023438E-02  0.8699546810E+03  0.6510161610E+03
 0.5493164062E-02  0.8698613177E+03  0.6510073194E+03
 0.5737304688E-02  0.8697679630E+03  0.6509980864E+03
 0.5981445312E-02  0.8696746167E+03  0.6509884627E+03
 0.6225585938E-02  0.8695812785E+03  0.6509784494E+03
 0.6469726562E-02  0.8694879485E+03  0.6509680473E+03
 0.6713867188E-02  0.8693946263E+03  0.6509572572E+03
 0.6958007812E-02  0.8693013118E+03  0.6509460801E+03
 0.7202148438E-02  0.8692080049E+03  0.6509345169E+03
 0.7446289062E-02  0.8691147055E+03  0.6509225684E+03
 0.7690429688E-02  0.8690214133E+03  0.6509102355E+03
 0.7934570312E-02  0.8689281282E+03  0.6508975192E+03
 0.8178710938E-02  0.8688348500E+03  0.6508844202E+03
 0.8422851562E-02  0.8687415786E+03  0.6508709394E+03
 0.8666992188E-02  0.8686483138E+03  0.6508570778E+03
 0.8911132812E-02  0.8685550555E+03  0.6508428362E+03
 0.9155273438E-02  0.8684618035E+03  0.6508282155E+03
 0.9399414062E-02  0.8683685576E+03  0.6508132165E+03
 0.9643554688E-02  0.8682753178E+03  0.6507978401E+03
 0.9887695312E-02  0.8681820838E+03  0.6507820872E+03
 0.1013183594E-01  0.8680888554E+03  0.6507659586E+03
 0.1037597656E-01  0.8679956326E+03  0.6507494553E+03
 0.1062011719E-01  0.8679024152E+03  0.6507325780E+03
 0.1086425781E-01  0.8678092030E+03  0.6507153277E+03
